id,user,created_at,text,sentiment,score
1004513504047583233,supremespidey,2018-06-07 00:00:56,I was tryna watch black panther to cheer myself up but the video isn’t loading https://t.co/ZI7sGBqk7L,Positive,0.38
1004513382878384128,NemRaps,2018-06-07 00:00:28,@TopBananas48 I really liked black panther (I now own the blu ray) But I LOVE #InfinityWar,Positive,0.88
1004513370597396480,ebrpl,2018-06-07 00:00:25,We will be showing Black Panther for free next Wednesday at 6:00 p.m. at the Greenwell Springs Road Regional Branch. https://t.co/XrYCj3L05U,Positive,0.56
1004513367934033922,Curdle_Sanders,2018-06-07 00:00:24,Thor: Ragnarok &gt; Black Panther,Neutural,0.0
1004513366398795776,_NichiBro,2018-06-07 00:00:24,I took Chyna to see “Black Panther” and she swooned every damn time Michael B. Jordan hopped on screen. The damn disrespect.,Negative,-0.32
1004513272714989569,ZoeVogueBlog,2018-06-07 00:00:01,Black Panther: The movie I didn’t know we needed  https://t.co/e2HiDr3dOz,Positive,0.07
1004513153625886720,_NichiBro,2018-06-06 23:59:33,I’m watching “Black Panther” in a second-run theater and now the “What are those?” joke feels even more dated.,Positive,0.38
1004513073074491392,OrangeChuck,2018-06-06 23:59:14,"@SeanKeeleyIsMe Only thing I liked about Civil War was introducing Black Panther and the Spiderman reboot, which I enjoyed as well.",Positive,0.48
1004513012596858882,ScifiandScary,2018-06-06 23:58:59,I've just entered the MOVIE: Black Panther (2018) #giveaway at @smashbomb. You can enter to #win too:… https://t.co/Il2B87cUmy,Positive,0.34
1004512836180217856,JosfIsSoCool,2018-06-06 23:58:17,"Yeah so Thor: Ragnarok is one of the best Marvel movies. Marvel's on a roll with this, Black Panther, and Infinity War",Positive,0.77
1004512745998385158,petrparkr,2018-06-06 23:57:56,petty level is peter flying away from hawkeye and black panther while telling them to rethink their lives https://t.co/ydXEBMWo3Q,Positive,0.16
1004512665929158656,korps,2018-06-06 23:57:37,Why these #Jeopardy contestants gotta ignore the comics category. Damn fools.  Also @ Trebek: The “T” in T’Challa i… https://t.co/dFUtuVnJh8,Negative,-0.17
1004512531405303808,PrimeShan,2018-06-06 23:57:05,You guys have ruined black panther. Sick of y’all.,Negative,-0.3
1004512347631824897,CodeLion,2018-06-06 23:56:21,@JamesGavsie @GeekToMeRadio @JSandlinWriter @3RShow @BrianLeeOkert @mrjafri @MikeSchmidt09 @GeekVibesNation… https://t.co/MiXHxcQzPr,Neutural,0.0
1004512260033863680,ItsChucky27,2018-06-06 23:56:00,Copping the black panther vans https://t.co/nC0jrQwoR7,Neutural,0.0
1004512210956308481,youthills,2018-06-06 23:55:48,black panther | pantera negra https://t.co/e76mVaAMnX,Neutural,0.0
1004512126860439552,WhoJaded,2018-06-06 23:55:28,Saud brought a black panther to philly y’all ! She did it again.,Neutural,0.0
1004512073303199745,SimplyBiased,2018-06-06 23:55:15,Me and my brothers when we saw Black Panther 😂👌🏼 https://t.co/x0NJVS2zVv,Positive,0.2
1004512063283171334,_allysonchiu,2018-06-06 23:55:13,Why ‘Black Panther’ actor Michael B. Jordan is intent on landing ‘white’ roles https://t.co/vOAT5GzyDC,Neutural,0.0
1004512032195006464,Malaya_Ann24,2018-06-06 23:55:06,YOU COULDNT BUZZ IN FAST ENOUGH TO GUESS “WHO IS THE BLACK PANTHER?” Your black card has been revoked...this should… https://t.co/YSp8uNAhHE,Neutral,0.0
1004512008304320513,HotNewHipHop,2018-06-06 23:55:00,"The Avengers, Black Panther, Deadpool &amp; others featured in new @VANS_66 x @Marvel collection  https://t.co/Xvw63WN2oV",Positive,0.3
1004511798031273984,TPTVEXCLUSIVES,2018-06-06 23:54:10,Phil Lamarr on Voicing Black Panther Video Game and Black Panther Cartoon (Part 4) https://t.co/1Y2AwddMzl,Positive,0.1
1004511739625590785,maimunamustaph1,2018-06-06 23:53:56,@Graaffiti Sakura??? Yeap. She does.  Sakura... Shuri... all na the same.  Lol is it in black panther 2 that she whispered that to you???,Positive,0.25
1004511472549064704,girls_are_weird,2018-06-06 23:52:52,i genuinely don't get it. could that leia scene in #TheLastJedi have looked better? sure. but so could the last kil… https://t.co/ao1IN6KlSe,Positive,0.34
1004511336720752645,titansinfinity,2018-06-06 23:52:20,"@stanleescameos completely agree, i don’t find myself interesting  If you’d like a positive opinion, I thought Doct… https://t.co/1TOt8tsg1g",Positive,0.5
